"ISBN";"Book-Title";"Book-Author";"Year-Of-Publication";"Publisher";"Image-URL-S";"Image-URL-M";"Image-URL-L"
"0441102670";"Chapterhouse Dune (Dune Chronicles, Book 6)";"Frank Herbert";"1996";"ACE Charter";"http://images.amazon.com/images/P/0441102670.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441102670.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441102670.01.LZZZZZZZ.jpg"
"0441328008";"Heretics of Dune (Dune Chronicles, Book 5)";"Frank Herbert";"1996";"ACE Charter";"http://images.amazon.com/images/P/0441328008.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441328008.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441328008.01.LZZZZZZZ.jpg"
"0441294677";"God Emperor of Dune (Dune Chronicles, Book 4)";"Frank Herbert";"1991";"ACE Charter";"http://images.amazon.com/images/P/0441294677.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441294677.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441294677.01.LZZZZZZZ.jpg"
"0441104029";"Children of Dune (Dune Chronicles, Book 3)";"Frank Herbert";"1991";"Ace Books";"http://images.amazon.com/images/P/0441104029.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441104029.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441104029.01.LZZZZZZZ.jpg"
"0441172660";"Dune (Dune Chronicles (Berkley Paperback))";"Frank Herbert";"1987";"Ace Books";"http://images.amazon.com/images/P/0441172660.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441172660.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441172660.01.LZZZZZZZ.jpg"
"0441172717";"Dune (Remembering Tomorrow)";"Frank Herbert";"1996";"ACE Charter";"http://images.amazon.com/images/P/0441172717.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441172717.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441172717.01.LZZZZZZZ.jpg"
"0425080021";"Dune";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425080021.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425080021.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425080021.01.LZZZZZZZ.jpg"
"0441172695";"Dune Messiah (Dune Chronicles, Book 2)";"Frank Herbert";"1994";"ACE Charter";"http://images.amazon.com/images/P/0441172695.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0441172695.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0441172695.01.LZZZZZZZ.jpg"
"042507272X";"God Emperor of Dune (Dune Chronicles, Book 4)";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/042507272X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/042507272X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/042507272X.01.LZZZZZZZ.jpg"
"042507160X";"Dune (Dune Chronicles (Berkley Paperback))";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/042507160X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/042507160X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/042507160X.01.LZZZZZZZ.jpg"
"0425055035";"Dune Messiah";"Frank Herbert";"1981";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425055035.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425055035.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425055035.01.LZZZZZZZ.jpg"
"0425054721";"Children of Dune";"Frank Herbert";"1981";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425054721.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425054721.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425054721.01.LZZZZZZZ.jpg"
"0425046877";"Dune";"Frank Herbert";"1980";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425046877.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425046877.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425046877.01.LZZZZZZZ.jpg"
"0425071804";"Dune Messiah (Dune Chronicles, Book 2)";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425071804.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425071804.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425071804.01.LZZZZZZZ.jpg"
"0425071790";"Children of Dune (Dune Chronicles, Book 3)";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425071790.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425071790.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425071790.01.LZZZZZZZ.jpg"
"0425074986";"Dune Messiah (Dune Chronicles, Book 2)";"Frank Herbert";"1984";"Penguin Putnam~mass";"http://images.amazon.com/images/P/0425074986.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425074986.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425074986.01.LZZZZZZZ.jpg"
"042508003X";"God Emperor of Dune (Dune Chronicles, Book 4)";"Frank Herbert";"1984";"Berkley Publishing Group";"http://images.amazon.com/images/P/042508003X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/042508003X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/042508003X.01.LZZZZZZZ.jpg"
"0425103811";"Dune (Dune Chronicles (Berkley Paperback))";"Frank Herbert";"1987";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425103811.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425103811.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425103811.01.LZZZZZZZ.jpg"
"0399128980";"Heretics of Dune (Dune Chronicles, Book 5)";"Frank Herbert";"1984";"Putnam Publishing Group";"http://images.amazon.com/images/P/0399128980.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0399128980.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0399128980.01.LZZZZZZZ.jpg"
"0399128964";"Dune (Dune Chronicles (Econo-Clad Hardcover))";"Frank Herbert";"1984";"Putnam Publishing Group";"http://images.amazon.com/images/P/0399128964.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0399128964.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0399128964.01.LZZZZZZZ.jpg"
"8470021818";"Dune";"Frank Herbert";"1975";"Lectorum Pubns (Adult)";"http://images.amazon.com/images/P/8470021818.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/8470021818.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/8470021818.01.LZZZZZZZ.jpg"
"044177427X";"Songs of Muad'Dib: Poems and Songs from Frank Herbert's \"Dune\" Series and His Other Writings";"Frank Herbert";"1992";"Berkley Pub Group";"http://images.amazon.com/images/P/044177427X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/044177427X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/044177427X.01.LZZZZZZZ.jpg"
"0425053121";"God Emperor of Dune (Dune Chronicles, Book 4)";"Frank Herbert";"1982";"Berkley Books";"http://images.amazon.com/images/P/0425053121.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425053121.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425053121.01.LZZZZZZZ.jpg"
"0425062333";"God Emperor of Dune (Dune Chronicles, Book 4)";"Frank Herbert";"1983";"Penguin Putnam~mass";"http://images.amazon.com/images/P/0425062333.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425062333.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425062333.01.LZZZZZZZ.jpg"
"0425033104";"Children of Dune";"Frank Herbert";"1977";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425033104.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425033104.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425033104.01.LZZZZZZZ.jpg"
"0399130276";"Chapterhouse Dune (Dune Chronicles, Book 6)";"Frank Herbert";"1985";"Smithmark Pub";"http://images.amazon.com/images/P/0399130276.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0399130276.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0399130276.01.LZZZZZZZ.jpg"
"0425043797";"Dune Messiah";"Frank Herbert";"1980";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425043797.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425043797.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425043797.01.LZZZZZZZ.jpg"
"0425043835";"Children of Dune";"Frank Herbert";"1981";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425043835.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425043835.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425043835.01.LZZZZZZZ.jpg"
"0425054713";"Dune";"Frank Herbert";"1982";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425054713.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425054713.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425054713.01.LZZZZZZZ.jpg"
"044100590X";"Dune";"Frank Herbert";"1999";"Ace Books";"http://images.amazon.com/images/P/044100590X.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/044100590X.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/044100590X.01.LZZZZZZZ.jpg"
"0425027066";"Dune";"Frank Herbert";"1975";"Berkley Publishing Group";"http://images.amazon.com/images/P/0425027066.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425027066.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425027066.01.LZZZZZZZ.jpg"
"0425092143";"Chapterhouse Dune (Dune Chronicles, Book 6)";"Frank Herbert";"1986";"Penguin Putnam~mass";"http://images.amazon.com/images/P/0425092143.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425092143.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425092143.01.LZZZZZZZ.jpg"
"8401469317";"Dune";"Frank Herbert";"1995";"Plaza &amp; Janes Editores, S.A.";"http://images.amazon.com/images/P/8401469317.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/8401469317.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/8401469317.01.LZZZZZZZ.jpg"
"0425038912";"Illustrated Dune";"Frank Herbert";"1978";"Berkley Pub Group";"http://images.amazon.com/images/P/0425038912.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425038912.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425038912.01.LZZZZZZZ.jpg"
"0425074994";"Children of Dune (Dune Chronicles, Book 3)";"Frank Herbert";"1984";"Penguin Putnam~mass";"http://images.amazon.com/images/P/0425074994.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425074994.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425074994.01.LZZZZZZZ.jpg"
"0425064360";"Dune Messiah (Dune Chronicles, Book 2)";"Frank Herbert";"1983";"Penguin Putnam~mass";"http://images.amazon.com/images/P/0425064360.01.THUMBZZZ.jpg";"http://images.amazon.com/images/P/0425064360.01.MZZZZZZZ.jpg";"http://images.amazon.com/images/P/0425064360.01.LZZZZZZZ.jpg"
